03/04/2015;03/04/2015;01/04 ATM;100.00;;924.57;
02/04/2015;02/04/2015;30/03 SUPERMARKET;23.75;;1293.91;
31/03/2015;31/03/2015;30/03 ATM;40.00;;1271.74;
10/03/2015;10/03/2015;06/03 ATM;20.00;;59.55;
10/03/2015;10/03/2015;06/03 SUPERMARKET;82.12;;257.89;
03/03/2015;03/03/2015;28/02 ATM;80.00;;699.55;
24/02/2015;24/02/2015;20/02 ATM;20.00;;60.29;
17/02/2015;17/02/2015;14/02 ATM;60.00;;60.26;
17/02/2015;17/02/2015;14/02 SUPERMARKET;15.19;;120.26;
20/01/2015;20/01/2015;17/01 SUPERMARKET;40.00;;102.41;
